IDs	Secuencias crudas	Trimmomatic QC
RL509-mf_S1	27999940	27559754
RL511-mf_S2	30998491	30430496
RL514-mf_S3	20117079	19217089
RL516-mf_S4	31552938	30980052
RL518-mf_S9	56895697	56067848
RL528-mf_S5	32971762	32289216
RL568-mf_S6	33207081	32400741
RL569-mf_S10	49861019	48656045
RL573-mf_S7	28357329	27812587
RL585-mf_S8	32025152	31610760
RL591-mf_S9	31540549	31120955
RL601-mf_S10	28068516	27641366
RL605-mf_S11	26876370	26443189
RL606-mf_S12	28793733	28345660
RL607-mf_S11	51764078	50557031
RL610-mf_S12	57625638	57020330
RL613-mf_S1	51539675	50979076
RL616-mf_S2	53962010	53394858
RL619-mf_S1	43731550	43147924
RL621-mf_S2	44568009	43499109
RL625-mf_S3	5975828	4710171
RL627-mf_S3	45807375	45305505
RL628-mf_S4	44035445	43579200
RL641-mf_S10	44000337	43251094
RL651-mf_S4	52962161	52529824
RL654-mf_S5	32638546	31892244
RL656-12_S2	50496415	49243660
RL656-3_S11	44769744	44095955
RL656-6_S1	55301408	54472262
RL656-mf_S5	45012327	44425150
RL659-mf_S3	53142438	52328796
RL663-mf_S6	51835717	51079073
RL665-mf_S7	50337087	49523102
RL667-mf_S8	54122891	53507231
RL668-mf_S6	50983021	50342101
RL679-mf_S7	42933500	42055063
RL680-mf_S8	42156952	41627849
RL682-mf_S9	43206398	42557651
RL683-mf_S4	47182377	46142514
RL686-mf_S5	60731285	59786942
RL691-mf_S6	39782722	38916371
RL693-mf_S7	51456634	50103358
RL700-mf_S8	42622975	41521323
RL703-mf_S9	48975608	47719610
RL704-mf_S10	54796438	53266518
RL725-mf_S11	43811504	43134155
